"channel_id","date","time","utc_time","along_channel_distance","CoordX","CoordY","longitude","latitude","water_surface_elevation_NAVD88","water_surface_elevation_WGS84","water_surface_elevation_uncertainty"
"WLO","2015-05-08","11:15:10",40510,24500,651815.87,3267910.94,-91.4333313,29.5316274,0.611,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24550,651802.45,3267862.77,-91.4334764,29.5311944,0.611,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24600,651789.03,3267814.61,-91.4336216,29.5307615,0.61,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24650,651775.62,3267766.44,-91.4337666,29.5303286,0.609,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24700,651762.2,3267718.27,-91.4339118,29.5298956,0.608,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24750,651748.79,3267670.11,-91.4340568,29.5294628,0.606,-24.56,0.074
"WLO","2015-05-08","11:15:10",40510,24800,651735.37,3267621.94,-91.4342019,29.5290298,0.604,-24.561,0.074
"WLO","2015-05-08","11:15:10",40510,24850,651721.96,3267573.77,-91.434347,29.5285969,0.603,-24.562,0.074
"WLO","2015-05-08","11:15:10",40510,24900,651708.54,3267525.61,-91.4344921,29.528164,0.601,-24.563,0.074
"WLO","2015-05-08","11:15:10",40510,24950,651695.13,3267477.44,-91.4346371,29.5277311,0.599,-24.564,0.074
"WLO","2015-05-08","11:15:10",40510,25000,651681.71,3267429.27,-91.4347823,29.5272981,0.597,-24.565,0.074
"WLO","2015-05-08","11:15:10",40510,25050,651668.3,3267381.11,-91.4349273,29.5268652,0.596,-24.565,0.074
"WLO","2015-05-08","11:15:10",40510,25100,651654.88,3267332.94,-91.4350724,29.5264323,0.595,-24.565,0.073
"WLO","2015-05-08","11:15:10",40510,25150,651641.47,3267284.77,-91.4352174,29.5259993,0.595,-24.565,0.073
"WLO","2015-05-08","11:15:10",40510,25200,651628.05,3267236.61,-91.4353626,29.5255665,0.594,-24.565,0.073
"WLO","2015-05-08","11:15:10",40510,25250,651614.63,3267188.44,-91.4355077,29.5251335,0.593,-24.565,0.073
"WLO","2015-05-08","11:15:10",40510,25300,651601.22,3267140.27,-91.4356527,29.5247006,0.593,-24.565,0.073
